COD_ID_PRODUTO,DES_PRODUTO,total_desconto
77865,LINGUICA SUINA ALIBEM 1KG,2941.83
103134,DETERGENTE DE LOUCA GIRANDO SOL NATURAL 500ML,2940.58
104262,HAMBURGUER DE FRANGO LAR EMPANADO CONGELADO 100G,2938.23
92044,CHOCOTTONE BAUDUCCO 500G TRUFA,2915.85
89737,LEITE FERM BATAVO 850G,2889.34
96166,CARNE BOV BEST KG COST S/O RESF,2887.98
2854,CACHACA VELHO BARREIRO 910ML ADOC,2876.12
100800,FAROFA APTI 200G TEMP BACON,2870.60
75789,ACHOC PIRACANJUBA 200ML PIRAKIDS,2859.94
78075,REFRIG COCA COLA 200ML PET ZERO,2824.01
105187,LAVA ROUPA TIXAN YPE 4KG SENS CONC S/PERF,2823.27
36691,*BISC ORQUIDEA 300G AMANTEIGADO,2820.30
98652,LAVA ROUPA AQUAFAST 5L EMB ECON MULTIACAO,2814.20
91003,AZEITE FONTOLIVA 500ML ESPANHOL EXTRA VIRGEM VIDRO,2808.74
4488,CAFE NESCAFE 200G ORIG,2807.34
80472,"PACOCA ROLHA GUIMARAES ROLHA POTE 1,008KG",2788.47
82941,BATATA ONDULADA DEUTSCHIPS CHURRASCO 225G,2743.34
95899,CHOCOLATE NEUGEBAUER PRETO/BRANCO 90G,2742.39
93334,DESODOR REXONA 200ML AERO TAM ECONO *TORC FANATICO,2731.83
91971,SABONETE PROTEX VITAMINA E 85G LV8 PG 6,2722.17
