COD_ID_PRODUTO,DES_PRODUTO,total_vendido
104324,PAPEL HIGIENICO TOP ONE NEUTRO FOLHA DUPLA PACOTE SUPERECONOMICO COM 12 ROLOS DE 20M CADA,26823.00
103097,QUEIJO DOM MIRO MUSSARELA FARIADO 1KG,26660.00
101144,BISCOITO PARATI MARIA EMBALAGEM ECONOMICA 740G,26601.00
432,PEPINO CAIPIRA KG,26583.04
11809,AGUA MIN CRISTAL TERRA 500ML S/GAS,26551.00
3153,FILTRADO GOTAS DOR 660ML ROSE,26471.00
4095,SUCO KAPO 200ML UVA,26435.00
30189,REQUEIJAO PIA 180G TRAD,26403.00
103855,COXINHAS DAS ASAS LAR TEMPERADA CONGELADAS 700G,26324.00
1985,SABONETE PALMOLIVE NATURALS 150G LEITE & ROSAS,26189.00
36928,CALDO APTI GALINHA 114G,26110.00
93077,DETERG ROUPA BRILHANTE 4KG S/PERF LIMP TOTAL PRO,26090.00
11461,MAIONESE SALADA SACHE 500G,26081.00
9890,BISC RECH BAUDUCCO 140G GULOSOS MORANGO,25876.00
68083,"AMACIANTE YPE 5L. ACONCHEGO LV5L PG4,5L",25852.00
100267,EXTRATO DE TOMATE ELEFANTE 310G,25806.00
30620,LEITE L VIDA PIRACANJUBA 1L ZERO LACT SEMIDESNAT,25677.00
40178,AGUA SANITARIA YPE 5L,25654.00
99970,LINGUICA CALABRESA LEBON FININHA 215G,25358.00
72104,SABONETE PALMOLIVE 150G NATURALS JASM MANT CACAU,25305.00
8798,ERVA MATE CRISTALINA SUAVE 1KG,25263.00
1402,AGUA MIN FONTE ILHA 500ML S/GAS,25238.00
101158,BISCOITO LUAM MARIA 300G,25202.00
98058,BISC ISABELA 130G MOUSSE CHOC LEIT,25146.00
104463,REFRIGERANTE PEPSI BLACK SEM ACUCARES 200ML,25100.00
83107,QUEIJO FRIOLACK MUSSARELA FATIADO 150G,24970.00
81617,BEBIDA LACTEA BIOLAT MORANGO 900G,24821.00
94335,*BEBIDA LACTEA LATVIDA 1000G SACO *MORANGO,24791.00
9341,FERMENTO ROYAL 100G,24690.00
8773,,24638.00
40287,LEITE L VIDA PIA ZERO LACTOSE 1L SEMI DESNATADO,24584.00
92714,TORRONE MONTEVERGINE 17G AMENDOIM,24449.00
6892,MACARRAO GERMANI 63G CARNE,24374.00
62204,QUEIJO PRESIDENT 150G MUSSARELA FATIADO,24365.00
102447,CREVEJA SPATEN PURO MALTE LONG NECK 355ML,24286.00
104262,HAMBURGUER DE FRANGO LAR EMPANADO CONGELADO 100G,24248.00
80781,SABONETE LUX 85G BUQUE JASMIM,24201.00
23724,CHOC LACTA BIS 126G LAKA,24163.00
101291,P?O MARSALA QUALIBREAD SANDUICHE 500G,24145.00
98767,"MACARR?O INSTANTANEO ISABELA LAMEN GALINHA PACOTE 74,3G",23970.00
89915,ALFACE DORIGATTI UN TRAD,23932.00
99913,LEITE CONDENSADO CCGL SEMIDESNATADO 395G,23887.00
94093,BROCOLIS SKOVRONSKI 250G BDJ,23834.00
61737,BISC CLUB SOCIAL 288G ORIGINAL,23811.00
89020,PAPEL HIG QUALITE 30M C/12 CAMPIONE F DUPLA L12 P11,23742.00
13442,LEITE ELEGE 1L UHT DESNAT,23686.00
89481,"ACHOCOLATADO INSTANT POWER APTI 1,01KG",23635.00
36691,*BISC ORQUIDEA 300G AMANTEIGADO,23612.00
64440,LEITE ITALAC 1L UHT ZERO LACTOSE,23589.00
58662,REFRIG PEPSI 2L PET ZERO,23527.00
1056,FILE PEITO FGO SEARA 1KG CONG,23481.00
4490,CAFE NESCAFE 200G VD TRADICAO,23457.00
104515,MISTURA DE REQUEIJ?O COM AMIDO CAROLINA CREMOSO 180G,23419.00
9928,WAFER BAUDUCCO 140G MORANGO,23319.00
